ComplainantID,CaseMasterID,ComplainantName,AgeYear,OccupationID,ReligionID,CasteID,GenderID
179,179,Kiran Murthy,20,6,3,8,1
180,180,Venkatesh Murthy,31,7,1,1,1
181,181,Geetha,70,8,1,10,2
182,182,Nagaraj Reddy,57,6,1,7,1
183,183,Bhagya Reddy,63,2,1,9,2
184,184,Muniraju Achar,45,2,1,8,1
185,185,Nagaraj Swamy,25,2,1,8,1
186,186,Asha Kumar,46,2,1,6,2
187,187,Srinivas Swamy,34,4,1,7,1
188,188,Vani Naik,43,3,1,7,2
189,189,Harish Achar,21,4,2,7,1
190,190,Prakash Murthy,45,8,1,5,1
191,191,Kiran Murthy,43,4,1,4,1
192,192,Mahesh,39,2,1,3,1
193,193,Muniraju Achar,27,8,1,8,1
194,194,Lakshmi,52,2,1,3,2
195,195,Shobha Reddy,54,3,1,8,2
196,196,Raghavendra,30,2,4,10,1
197,197,Shivakumar Kumar,52,1,1,8,1
198,198,Padma Swamy,65,6,1,4,2
199,199,Manjunath,59,1,1,7,1
200,200,Prakash Achar,48,3,1,1,1
201,201,Venkatesh Poojari,26,1,4,2,1
202,202,Santosh Hegde,48,7,1,2,1
203,203,Bhagya Naik,67,1,1,8,2
204,204,Lokesh,67,8,7,5,1
205,205,Bhagya,31,5,3,10,2
206,206,Manjula Swamy,33,2,1,4,2
207,207,Harish Rao,50,6,1,9,1
208,208,Divya Murthy,40,7,2,4,2
209,209,Ramesh Achar,30,3,2,3,1
210,210,Umesh Reddy,43,3,1,10,1
211,211,Prakash Achar,45,5,1,1,1
212,212,Venkatesh Rao,24,2,1,5,1
213,213,Yogesh Patil,45,3,3,4,1
214,214,Santosh Shetty,40,1,1,9,1
215,215,Sunitha Reddy,59,8,1,5,2
216,216,Savitha,41,2,1,5,2
217,217,Rathnamma Naik,36,2,1,1,2
218,218,Shwetha Poojari,70,2,1,1,2
219,219,Chandrashekar,57,2,4,10,1
220,220,Manjunath Reddy,25,4,1,8,1
221,221,Padma Reddy,25,5,1,8,2
222,222,Raghavendra Kumar,52,8,1,10,1
223,223,Suresh Kumar,30,3,3,1,1
224,224,Muniraju Rao,60,2,1,3,1
225,225,Asha Gowda,61,2,2,2,2
226,226,Chandrashekar Hegde,40,4,1,5,1
227,227,Manjula,60,5,1,10,2
228,228,Lokesh Poojari,53,8,1,5,1
229,229,Shobha Patil,65,7,1,9,2
230,230,Srinivas Patil,26,1,5,7,1
231,231,Nagaraj Poojari,39,4,1,5,1
232,232,Yogesh Kumar,47,1,3,4,1
233,233,Kavitha Patil,53,5,1,8,2
234,234,Anand,68,2,1,10,1
235,235,Shwetha Reddy,39,8,1,9,2
236,236,Geetha Achar,70,8,1,3,2
237,237,Krishnappa Shetty,39,3,1,3,1
238,238,Prakash,38,6,1,2,1
239,239,Yogesh,21,4,1,3,1
240,240,Manjunath Patil,23,4,2,4,1
241,241,Geetha Poojari,21,5,3,6,2
242,242,Chandrashekar Hegde,31,8,1,1,1
243,243,Raghavendra Rao,39,1,1,8,1
244,244,Kiran Achar,56,5,1,7,1
245,245,Shwetha Rao,43,1,1,4,2
246,246,Krishnappa Poojari,46,3,1,7,1
247,247,Pallavi Reddy,36,8,1,6,2
248,248,Manjula,22,2,1,7,2
249,249,Rathnamma Hegde,67,4,1,7,2
250,250,Ramesh Reddy,65,4,2,1,1
251,251,Raghavendra Rao,65,3,1,2,1
252,252,Krishnappa Hegde,67,2,7,4,1
253,253,Padma Patil,46,7,2,6,2
254,254,Ramesh Swamy,20,6,2,6,1
255,255,Vani,61,4,2,5,2
256,256,Manjunath Kumar,18,5,1,9,1
257,257,Srinivas Rao,24,6,1,4,1
258,258,Padma Naik,48,5,5,3,2
259,259,Kavitha Hegde,68,4,1,9,2
260,260,Divya Poojari,50,1,1,8,2
261,261,Shivakumar,46,2,1,6,1
262,262,Santosh,38,6,1,9,1
263,263,Vani Murthy,70,8,1,9,2
264,264,Manjula Reddy,21,5,1,2,2
265,265,Ramesh Achar,61,7,1,3,1
266,266,Santosh Reddy,67,8,2,9,1
267,267,Umesh Kumar,24,6,1,3,1
268,268,Muniraju Naik,47,2,1,5,1
269,269,Krishnappa Rao,64,3,4,8,1
270,270,Basavaraj,66,7,2,10,1
271,271,Shwetha Naik,58,6,1,7,2
272,272,Krishnappa Naik,30,6,1,8,1
273,273,Ramesh,25,1,2,5,1
274,274,Savitha Rao,37,1,1,2,2
275,275,Muniraju,54,2,1,2,1
276,276,Mahesh Kumar,51,6,1,5,1
277,277,Raghavendra Shetty,59,4,1,7,1
278,278,Manjunath Poojari,26,9,2,7,1
279,279,Geetha Rao,44,8,1,5,2
280,280,Divya Naik,18,2,1,6,2
281,281,Venkatesh Swamy,18,3,1,4,1
282,282,Nagamma Patil,66,3,1,3,2
283,283,Raghavendra Gowda,25,8,1,7,1
284,284,Bhagya Murthy,48,8,1,9,2
285,285,Shivakumar Patil,61,8,3,6,1
286,286,Kiran Poojari,65,10,1,10,1
287,287,Umesh Rao,33,6,1,4,1
288,288,Lokesh Gowda,66,2,2,6,1
289,289,Savitha Swamy,25,8,2,7,2
290,290,Nagaraj Kumar,66,7,1,3,1
291,291,Shobha Poojari,39,4,2,4,2
292,292,Chandrashekar Poojari,43,7,1,3,1
293,293,Padma Rao,46,2,5,4,2
294,294,Rathnamma Achar,40,7,1,6,2
295,295,Chandrashekar Swamy,39,2,4,1,1
296,296,Yogesh Hegde,61,8,1,6,1
297,297,Mahesh Naik,45,7,1,8,1
298,298,Muniraju Kumar,19,8,1,6,1
299,299,Venkatesh,35,5,1,6,1
300,300,Yogesh,59,2,3,3,1
301,301,Lokesh,19,6,1,5,1
302,302,Basavaraj Patil,28,6,1,2,1
303,303,Basavaraj Naik,28,7,3,2,1
304,304,Prakash,21,5,1,3,1
305,305,Ramesh Reddy,51,2,1,2,1
306,306,Prakash Shetty,26,3,1,8,1
307,307,Geetha Kumar,42,2,2,10,2
308,308,Kavitha Rao,43,9,3,8,2
309,309,Darshan Reddy,18,2,1,10,1
310,310,Basavaraj Shetty,39,5,1,3,1
311,311,Venkatesh Achar,34,8,1,2,1
312,312,Manjunath Patil,39,7,1,4,1
313,313,Darshan Poojari,23,2,1,8,1
314,314,Kavitha Hegde,47,1,3,10,2
315,315,Asha Swamy,65,7,1,8,2
316,316,Divya,54,2,1,7,2
317,317,Rekha,62,2,1,6,2
318,318,Krishnappa Poojari,45,5,1,8,1
319,319,Anand Shetty,53,6,1,7,1
320,320,Suresh Swamy,31,10,1,3,1
321,321,Lakshmi Naik,52,6,1,4,2
322,322,Lokesh Achar,45,2,3,2,1
323,323,Savitha,28,2,1,4,2
324,324,Ramesh Patil,49,5,1,1,1
325,325,Krishnappa Achar,37,6,1,6,1
326,326,Shivakumar Naik,20,8,3,7,1
327,327,Rathnamma Naik,45,7,1,2,2
328,328,Yogesh Reddy,55,3,1,6,1
329,329,Harish Swamy,60,1,1,4,1
330,330,Divya Naik,46,2,1,5,2
331,331,Prakash Poojari,48,10,1,4,1
332,332,Vani Shetty,24,4,1,9,2
333,333,Manjunath Poojari,46,8,1,2,1
334,334,Rekha Shetty,56,2,1,3,2
335,335,Raghavendra,35,6,1,3,1
336,336,Darshan Kumar,59,9,1,9,1
337,337,Girish Hegde,65,8,3,4,1
338,338,Venkatesh,21,4,1,4,1
339,339,Chandrashekar Gowda,53,6,3,4,1
340,340,Deepa Poojari,50,6,1,3,2
341,341,Nagamma,22,2,1,1,2
342,342,Mahesh Shetty,41,5,2,4,1
343,343,Ramesh Achar,33,7,2,8,1
344,344,Nagamma Swamy,41,6,1,4,2
345,345,Suresh Murthy,47,4,1,4,1
346,346,Padma Hegde,33,2,3,10,2
347,347,Vani Rao,22,2,1,10,2
348,348,Asha,41,1,1,9,2
349,349,Lakshmi Patil,64,4,1,8,2
350,350,Raghavendra Rao,19,2,1,1,1
351,351,Muniraju Patil,66,6,2,7,1
352,352,Manjunath Swamy,31,4,1,8,1
353,353,Lakshmi Swamy,58,7,1,6,2
354,354,Padma Naik,50,8,1,9,2
355,355,Vani Shetty,66,4,3,9,2
356,356,Rekha Kumar,67,4,6,6,2
357,357,Manjunath Reddy,52,6,3,6,1
358,358,Darshan Shetty,45,4,2,9,1
359,359,Sunitha,69,2,1,1,2
360,360,Mahesh,35,8,1,4,1
361,361,Lakshmi,65,5,1,3,2
362,362,Manjunath,29,7,3,3,1
363,363,Rekha,27,5,1,5,2
364,364,Mahesh Naik,40,9,2,10,1
365,365,Santosh Kumar,54,7,7,7,1
366,366,Anand Rao,43,3,1,9,1
367,367,Rekha Reddy,39,6,2,4,2
368,368,Srinivas Reddy,30,6,2,4,1
369,369,Divya Shetty,69,5,1,5,2
370,370,Srinivas Naik,50,2,1,3,1
371,371,Darshan Gowda,19,5,2,7,1
372,372,Chandrashekar Murthy,30,4,1,2,1
373,373,Basavaraj,20,7,1,8,1
374,374,Rekha Gowda,47,1,1,3,2
375,375,Manjula Kumar,66,7,1,6,2
376,376,Umesh Reddy,49,6,5,1,1
377,377,Padma,63,4,1,8,2
378,378,Vani Hegde,34,2,4,1,2
379,379,Geetha Rao,26,5,1,3,2
380,380,Srinivas Rao,26,4,3,8,1
381,381,Nagaraj Naik,29,5,1,7,1
382,382,Shobha Hegde,49,9,1,7,2
383,383,Savitha,43,2,1,6,2
384,384,Prakash Shetty,55,8,1,10,1
385,385,Suresh,32,2,2,3,1
386,386,Divya Gowda,43,8,1,4,2
387,387,Srinivas Shetty,46,7,1,9,1
388,388,Shivakumar Murthy,53,9,4,3,1
389,389,Mahesh Murthy,38,5,2,9,1
390,390,Prakash Rao,30,3,3,9,1
391,391,Geetha Naik,35,2,1,10,2
392,392,Girish Shetty,67,2,1,10,1
393,393,Harish Gowda,47,9,5,1,1
394,394,Lokesh,60,5,3,2,1
395,395,Chandrashekar,38,9,1,10,1
396,396,Yogesh Poojari,68,1,1,3,1
397,397,Rekha Hegde,30,8,2,2,2
398,398,Srinivas Naik,41,2,1,2,1
399,399,Vani Kumar,26,7,1,9,2
400,400,Padma Patil,70,9,1,10,2
401,401,Umesh Patil,44,6,3,4,1
402,402,Rekha Gowda,27,7,3,2,2
403,403,Darshan Reddy,40,8,1,4,1
404,404,Prakash Kumar,49,2,1,4,1
405,405,Lakshmi Swamy,70,4,2,9,2
406,406,Chandrashekar Achar,70,7,2,10,1
407,407,Kavitha Rao,49,7,1,9,2
408,408,Harish Achar,52,4,1,6,1
409,409,Muniraju Shetty,67,6,1,10,1
410,410,Umesh,70,2,3,8,1
411,411,Rathnamma Swamy,41,3,1,9,2
412,412,Anand Reddy,22,1,1,8,1
413,413,Rekha,46,2,1,1,2
414,414,Puneeth Rao,39,6,1,3,1
415,415,Kiran Murthy,35,4,1,10,1
416,416,Chandrashekar,47,4,1,5,1
417,417,Srinivas Gowda,58,2,1,10,1
418,418,Venkatesh Naik,34,3,1,1,1
419,419,Ramesh Naik,19,4,1,5,1
420,420,Ramesh,20,2,1,8,1
421,421,Girish,22,8,1,7,1
422,422,Anand Reddy,60,3,1,6,1
423,423,Divya Naik,57,2,1,6,2
424,424,Puneeth Patil,62,7,1,6,1
425,425,Kiran Kumar,36,2,1,6,1
426,426,Pallavi Reddy,34,9,1,1,2
427,427,Srinivas Hegde,52,1,4,9,1
428,428,Pallavi Achar,19,5,1,8,2
429,429,Nagaraj Patil,46,5,1,6,1
430,430,Shobha Kumar,21,4,1,4,2
431,431,Sunitha,35,7,1,7,2
432,432,Santosh Gowda,23,5,6,8,1
433,433,Lakshmi Naik,65,8,1,5,2
434,434,Pallavi,41,10,1,10,2
435,435,Mahesh Achar,65,8,1,2,1
436,436,Geetha Patil,54,5,4,9,2
437,437,Muniraju Reddy,22,2,2,5,1
438,438,Geetha Kumar,55,3,3,6,2
439,439,Ramesh Rao,28,2,1,10,1
440,440,Lokesh Patil,39,3,2,2,1
441,441,Manjunath Reddy,59,4,1,1,1
442,442,Puneeth,28,5,1,6,1
443,443,Chandrashekar Poojari,45,8,3,10,1
444,444,Manjula Achar,58,8,1,6,2
445,445,Manjunath Shetty,44,2,5,7,1
446,446,Darshan Murthy,52,2,1,2,1
447,447,Deepa Shetty,52,4,1,3,2
448,448,Kiran Achar,68,5,6,5,1
449,449,Venkatesh Murthy,70,2,2,4,1
450,450,Nagaraj Achar,65,4,1,2,1
451,451,Savitha Achar,41,4,2,6,2
452,452,Deepa Naik,19,1,1,7,2
453,453,Yogesh Swamy,47,3,1,8,1
454,454,Raghavendra,45,5,1,9,1
455,455,Krishnappa Swamy,20,2,1,9,1
456,456,Venkatesh Shetty,34,4,1,10,1
457,457,Muniraju Rao,32,6,1,1,1
458,458,Nagaraj Hegde,60,1,1,8,1
459,459,Nagaraj Reddy,40,3,1,1,1
460,460,Srinivas Rao,62,1,1,10,1
461,461,Venkatesh Hegde,53,1,1,10,1
462,462,Chandrashekar Hegde,32,4,1,4,1
463,463,Asha,33,7,1,3,2
464,464,Ramesh Kumar,32,8,3,4,1
465,465,Padma Murthy,59,7,1,9,2
466,466,Pallavi,24,5,1,3,2
467,467,Shivakumar Hegde,36,4,2,8,1
468,468,Lokesh Gowda,42,4,6,1,1
469,469,Manjula Poojari,59,4,2,7,2
470,470,Suresh,27,6,1,1,1
471,471,Santosh Achar,37,3,7,2,1
472,472,Darshan Naik,27,4,1,10,1
473,473,Krishnappa Achar,63,5,1,10,1
474,474,Girish Swamy,61,2,1,3,1
475,475,Nagamma Swamy,60,1,1,5,2
476,476,Pallavi,20,1,2,8,2
477,477,Basavaraj Shetty,60,9,1,8,1
478,478,Pallavi,62,2,1,1,2
479,479,Kavitha Reddy,53,6,1,2,2
480,480,Santosh Achar,59,10,1,3,1
481,481,Manjula Naik,23,8,2,4,2
482,482,Rathnamma Swamy,68,2,1,1,2
483,483,Venkatesh Poojari,44,8,2,8,1
484,484,Manjula Rao,20,7,1,10,2
485,485,Lokesh,48,9,1,3,1
486,486,Krishnappa Poojari,65,7,1,10,1
487,487,Raghavendra Poojari,19,3,3,2,1
488,488,Srinivas Rao,40,2,1,6,1
489,489,Darshan Kumar,31,5,2,8,1
490,490,Padma Achar,36,2,1,8,2
491,491,Manjunath,67,1,1,6,1
492,492,Rekha Patil,19,2,1,5,2
493,493,Kavitha,55,4,1,3,2
494,494,Darshan Naik,29,3,1,9,1
495,495,Divya Achar,32,5,2,9,2
496,496,Geetha Naik,20,7,1,4,2
497,497,Vani Rao,44,8,1,3,2
498,498,Yogesh Swamy,19,3,1,5,1
499,499,Basavaraj Gowda,61,6,4,7,1
500,500,Bhagya Reddy,49,2,1,1,2
501,501,Geetha Rao,54,8,1,7,2
502,502,Raghavendra,66,7,3,7,1
503,503,Mahesh,18,6,1,3,1
504,504,Manjunath Naik,45,6,1,8,1
505,505,Shobha,31,4,1,1,2
506,506,Lokesh Swamy,37,6,1,3,1
507,507,Krishnappa,52,2,1,9,1
508,508,Pallavi Patil,22,8,1,6,2
509,509,Puneeth Poojari,54,8,4,7,1
510,510,Bhagya,51,1,1,10,2
511,511,Sunitha Naik,34,3,1,4,2
512,512,Pallavi Rao,69,8,1,3,2
513,513,Vani Swamy,62,6,1,4,2
514,514,Harish Rao,67,4,1,6,1
515,515,Mahesh Patil,39,4,1,4,1
516,516,Vani Achar,49,5,2,5,2
517,517,Darshan Rao,47,3,1,2,1
518,518,Vani Patil,21,6,1,1,2
519,519,Harish Swamy,51,7,2,8,1
520,520,Harish Naik,20,1,1,1,1
521,521,Kavitha Gowda,23,6,1,2,2
522,522,Shivakumar Naik,44,3,1,2,1
523,523,Divya Swamy,61,1,1,8,2
524,524,Rekha Hegde,28,3,1,3,2
525,525,Anand Achar,56,6,1,5,1
526,526,Savitha Shetty,29,9,1,2,2
527,527,Venkatesh Achar,26,2,1,4,1
528,528,Basavaraj,44,4,1,5,1
529,529,Santosh Shetty,20,8,1,1,1
530,530,Venkatesh Swamy,27,4,1,2,1
531,531,Puneeth Murthy,19,3,7,4,1
532,532,Bhagya Poojari,66,4,2,4,2
533,533,Sunitha Naik,55,1,1,5,2
534,534,Lokesh Swamy,26,5,2,7,1
535,535,Lakshmi Patil,38,2,2,4,2
536,536,Umesh,51,4,1,9,1
537,537,Venkatesh Poojari,19,9,1,3,1
538,538,Vani,42,8,1,2,2
539,539,Krishnappa Hegde,32,2,3,8,1
540,540,Deepa Shetty,52,6,1,7,2
541,541,Divya Shetty,64,7,1,8,2
542,542,Suresh Hegde,47,6,1,4,1
543,543,Shivakumar,37,8,1,8,1
544,544,Ramesh Murthy,61,7,2,7,1
545,545,Prakash,70,10,1,4,1
546,546,Pallavi Rao,69,2,1,6,2
547,547,Nagaraj Patil,69,4,2,7,1
548,548,Lakshmi,25,7,1,6,2
549,549,Bhagya Hegde,25,4,1,7,2
550,550,Basavaraj Patil,51,2,1,9,1
551,551,Raghavendra,50,2,1,3,1
552,552,Shivakumar Rao,66,2,3,6,1
553,553,Santosh Kumar,37,2,1,7,1
554,554,Prakash Achar,49,3,1,10,1
555,555,Deepa Murthy,24,5,1,4,2
556,556,Padma Patil,52,2,1,7,2
557,557,Nagamma Swamy,58,9,1,7,2
558,558,Asha,52,1,1,7,2
559,559,Pallavi Kumar,20,4,1,3,2
560,560,Yogesh Hegde,69,6,3,7,1
561,561,Darshan Patil,47,7,1,2,1
562,562,Puneeth Naik,27,2,1,9,1
563,563,Puneeth Gowda,41,6,1,3,1
564,564,Pallavi Hegde,62,4,1,8,2
565,565,Asha Shetty,52,7,1,2,2
566,566,Manjula,49,8,1,2,2
567,567,Nagaraj Swamy,64,5,3,3,1
568,568,Puneeth Naik,27,7,4,7,1
569,569,Nagamma Naik,53,10,3,2,2
570,570,Bhagya Patil,49,8,1,2,2
571,571,Santosh Hegde,67,5,3,7,1
572,572,Rathnamma,33,8,1,9,2
573,573,Manjunath Swamy,54,1,6,10,1
574,574,Pallavi Swamy,41,3,1,1,2
575,575,Girish Reddy,62,8,6,10,1
576,576,Basavaraj Kumar,67,4,1,2,1
577,577,Manjula Reddy,59,1,1,4,2
578,578,Suresh Achar,18,10,1,10,1
579,579,Venkatesh,30,1,2,7,1
580,580,Nagaraj,49,6,1,6,1
581,581,Basavaraj,29,5,4,3,1
582,582,Bhagya Achar,29,2,2,4,2
583,583,Muniraju Naik,28,4,1,2,1
584,584,Geetha Murthy,59,7,4,5,2
585,585,Savitha Reddy,20,2,1,4,2
586,586,Deepa Achar,61,5,1,8,2
587,587,Rathnamma Swamy,42,3,1,6,2
588,588,Divya,27,2,1,10,2
589,589,Srinivas Rao,34,5,1,10,1
590,590,Pallavi Reddy,22,2,1,5,2
591,591,Prakash Gowda,23,1,1,4,1
592,592,Srinivas,43,7,1,4,1
593,593,Shivakumar Achar,44,4,1,2,1
594,594,Kavitha Patil,26,5,2,4,2
595,595,Rathnamma Patil,43,8,2,7,2
596,596,Krishnappa,58,5,1,2,1
597,597,Divya Murthy,37,8,1,7,2
598,598,Nagamma Rao,65,5,3,10,2
599,599,Venkatesh Gowda,63,6,1,3,1
600,600,Vani Gowda,52,2,3,5,2
601,601,Darshan Shetty,64,2,2,8,1
602,602,Pallavi Shetty,41,6,2,9,2
603,603,Asha Patil,66,8,1,5,2
604,604,Suresh Rao,67,2,1,10,1
605,605,Mahesh Murthy,18,8,1,3,1
606,606,Harish Achar,24,1,2,1,1
607,607,Anand Kumar,27,8,1,9,1
608,608,Anand Reddy,63,8,2,9,1
609,609,Mahesh Shetty,47,7,1,5,1
610,610,Lokesh Murthy,65,4,1,6,1
611,611,Geetha,41,6,1,1,2
612,612,Pallavi Swamy,48,2,1,6,2
613,613,Padma,58,9,3,10,2
614,614,Suresh Hegde,18,2,1,1,1
615,615,Ramesh Kumar,60,4,1,5,1
