VictimMasterID,CaseMasterID,VictimName,AgeYear,GenderID,VictimPolice
243,639,Girish Hegde,73,1,0
244,640,Vani Gowda,70,2,0
245,641,Shwetha Shetty,53,2,0
246,642,Rekha,30,2,0
247,645,Rathnamma Reddy,36,2,0
248,651,Shwetha Naik,37,2,0
249,658,Rathnamma,36,2,0
250,660,Shwetha,43,2,0
251,670,Sunitha Murthy,71,2,0
252,671,Darshan Rao,31,1,0
253,673,Divya,22,2,0
254,674,Umesh Naik,50,1,0
255,679,Sunitha Swamy,56,2,0
256,680,Kavitha Hegde,65,2,0
257,681,Venkatesh Swamy,46,1,0
258,682,Sunitha Kumar,39,2,0
259,684,Lokesh Hegde,54,1,0
260,685,Prakash Poojari,36,1,0
261,688,Lakshmi Gowda,58,2,0
262,689,Shwetha Naik,35,2,0
263,691,Shivakumar Rao,37,1,0
264,693,Rekha Gowda,36,2,0
265,696,Geetha Rao,57,2,0
266,697,Pallavi,48,2,0
267,698,Puneeth Swamy,58,1,0
268,699,Shwetha,59,2,0
269,703,Vani Naik,21,2,0
270,704,Rathnamma Swamy,60,2,0
271,706,Sunitha,35,2,0
272,708,Shwetha Reddy,29,2,0
273,710,Basavaraj Shetty,30,1,0
274,714,Rathnamma Poojari,42,2,0
275,720,Santosh Kumar,61,1,0
276,721,Shobha Rao,32,2,0
277,722,Suresh,75,1,0
278,723,Nagamma Patil,46,2,0
279,725,Padma Gowda,39,2,0
280,729,Divya Patil,18,2,0
281,732,Mahesh Naik,61,1,0
282,733,Kavitha Hegde,59,2,0
283,734,Divya Gowda,42,2,0
284,735,Chandrashekar,31,1,0
285,737,Shobha Kumar,18,2,0
286,739,Girish Achar,37,1,0
287,741,Manjula Naik,35,2,0
288,742,Girish,67,1,0
289,747,Rekha Poojari,19,2,0
290,748,Rekha Achar,67,2,0
291,750,Geetha Rao,69,2,0
292,751,Kiran Hegde,45,1,0
293,753,Yogesh Kumar,54,1,0
294,754,Rathnamma Swamy,47,2,0
295,755,Kavitha,64,2,0
296,757,Vani Kumar,52,2,0
297,759,Nagamma,54,2,0
298,765,Pallavi Achar,74,2,0
299,767,Rekha,52,2,0
300,769,Sunitha Naik,74,2,0
301,773,Rekha Rao,36,2,0
302,776,Rekha Shetty,74,2,0
303,777,Rathnamma Naik,20,2,0
304,781,Padma,31,2,0
305,784,Manjula Rao,39,2,0
306,788,Asha Poojari,49,2,0
307,790,Srinivas Patil,21,1,0
308,792,Ramesh Patil,33,1,0
309,793,Kavitha Swamy,34,2,0
310,795,Pallavi Hegde,22,2,0
311,797,Padma Achar,19,2,0
312,800,Padma Swamy,38,2,0
313,801,Lakshmi Swamy,33,2,0
314,803,Shivakumar,56,1,0
315,805,Divya Swamy,57,2,0
316,806,Divya,59,2,1
317,807,Shwetha Achar,52,2,0
318,811,Shwetha,36,2,0
319,814,Vani,25,2,0
320,815,Deepa Swamy,59,2,0
321,820,Geetha Shetty,38,2,0
322,830,Shobha Rao,40,2,0
323,832,Lakshmi,27,2,1
324,834,Mahesh Patil,23,1,0
325,839,Bhagya Achar,22,2,0
326,844,Muniraju Shetty,74,1,0
327,845,Nagamma,20,2,0
328,850,Kavitha Rao,40,2,0
329,854,Raghavendra Reddy,62,1,0
330,856,Padma,47,2,0
331,860,Rathnamma Rao,73,2,0
332,861,Geetha Rao,47,2,0
333,863,Geetha Naik,57,2,0
334,865,Rathnamma Hegde,24,2,0
335,866,Santosh Swamy,51,1,0
336,868,Srinivas,54,1,0
337,870,Asha Swamy,21,2,0
338,873,Geetha Gowda,65,2,0
339,876,Srinivas Rao,45,1,0
340,877,Kavitha Gowda,72,2,0
341,879,Manjula Gowda,17,2,0
342,880,Prakash Naik,53,1,1
343,881,Pallavi Naik,28,2,0
344,882,Nagamma Hegde,54,2,0
345,887,Padma Achar,61,2,0
346,888,Pallavi,28,2,0
347,891,Pallavi,38,2,0
348,892,Manjula Gowda,38,2,0
349,895,Venkatesh,57,1,0
350,897,Vani Rao,21,2,0
351,898,Rekha Naik,36,2,0
352,904,Venkatesh Poojari,35,1,0
353,909,Divya Gowda,25,2,0
354,911,Prakash Patil,24,1,0
355,916,Shwetha Hegde,62,2,0
356,921,Rathnamma,75,2,0
357,926,Deepa Swamy,42,2,0
358,927,Vani Rao,19,2,0
359,932,Nagamma Naik,23,2,0
360,935,Harish Kumar,69,1,0
361,938,Shwetha Hegde,28,2,0
362,939,Girish Achar,68,1,0
363,943,Rekha Naik,24,2,0
364,945,Manjula Patil,23,2,0
365,949,Nagamma Reddy,17,2,0
366,951,Shivakumar Poojari,25,1,0
367,952,Asha Poojari,25,2,0
368,957,Chandrashekar Murthy,37,1,0
369,959,Geetha Patil,45,2,0
370,961,Savitha Kumar,59,2,0
371,964,Pallavi,65,2,0
372,967,Sunitha Reddy,23,2,0
373,968,Geetha Reddy,40,2,0
374,970,Basavaraj Patil,19,1,0
375,972,Umesh Kumar,46,1,0
376,974,Padma Murthy,38,2,0
377,975,Girish Naik,32,1,0
378,979,Nagamma Murthy,16,2,0
379,981,Pallavi Reddy,37,2,0
380,984,Rathnamma Rao,51,2,0
381,985,Yogesh Achar,34,1,0
382,986,Manjula,27,2,0
383,989,Nagamma Achar,53,2,0
384,992,Nagamma Kumar,52,2,0
385,997,Shwetha Swamy,62,2,0
386,1001,Divya Kumar,58,2,0
387,1004,Sunitha Murthy,56,2,0
388,1007,Bhagya Rao,29,2,0
389,1008,Rathnamma Gowda,75,2,0
390,1011,Sunitha,28,2,0
391,1012,Manjunath Patil,29,1,0
392,1013,Geetha,72,2,0
393,1014,Nagamma Murthy,70,2,0
394,1016,Geetha Poojari,50,2,0
395,1018,Girish Patil,56,1,0
396,1019,Vani Kumar,26,2,0
397,1020,Deepa,48,2,0
398,1022,Padma,18,2,0
399,1024,Mahesh Poojari,55,1,0
400,1026,Kavitha Shetty,55,2,0
401,1027,Savitha Reddy,58,2,0
402,1029,Sunitha Reddy,58,2,0
403,1032,Mahesh,70,1,0
404,1034,Santosh Achar,32,1,0
405,1035,Pallavi Patil,24,2,0
406,1037,Sunitha Swamy,69,2,0
407,1040,Bhagya Rao,21,2,0
408,1041,Krishnappa Swamy,65,1,0
409,1043,Bhagya,27,2,0
410,1049,Padma Shetty,25,2,0
411,1050,Basavaraj Poojari,30,1,0
412,1054,Nagamma Kumar,45,2,0
413,1056,Bhagya,56,2,0
414,1057,Lakshmi Poojari,71,2,0
415,1058,Asha Patil,30,2,0
416,1062,Lakshmi,52,2,0
417,1063,Asha Murthy,44,2,0
418,1064,Shobha Reddy,65,2,0
419,1066,Savitha Poojari,24,2,0
420,1069,Nagamma Murthy,51,2,0
421,1073,Asha Shetty,37,2,0
422,1075,Bhagya,25,2,0
423,1076,Padma Swamy,26,2,0
424,1078,Rathnamma,21,2,0
425,1079,Nagamma Patil,27,2,0
426,1081,Kavitha Rao,45,2,0
427,1084,Sunitha Gowda,54,2,0
428,1085,Girish Naik,26,1,0
429,1087,Sunitha Swamy,75,2,0
430,1088,Ramesh,72,1,0
431,1089,Bhagya,50,2,0
432,1090,Shobha Poojari,25,2,0
433,1091,Venkatesh,72,1,0
434,1092,Rekha Shetty,22,2,0
435,1095,Shobha Shetty,49,2,0
436,1096,Rekha Hegde,57,2,0
437,1097,Deepa,71,2,0
438,1099,Shwetha Naik,27,2,0
439,1100,Rathnamma,38,2,0
440,1102,Divya Kumar,63,2,0
441,1105,Rekha Poojari,40,2,0
442,1106,Basavaraj Hegde,71,1,0
443,1107,Venkatesh Reddy,54,1,0
444,1112,Shivakumar Kumar,43,1,0
445,1113,Kavitha Gowda,62,2,0
446,1114,Mahesh Achar,32,1,0
447,1115,Shwetha Shetty,49,2,0
448,1117,Rekha Rao,67,2,0
449,1120,Puneeth Rao,39,1,0
450,1122,Asha,64,2,0
451,1126,Girish,43,1,0
452,1127,Kavitha Naik,31,2,0
453,1128,Savitha Murthy,49,2,0
454,1133,Anand Hegde,39,1,0
455,1134,Savitha Reddy,47,2,0
456,1138,Savitha Rao,54,2,0
457,1139,Kiran Hegde,66,1,0
458,1140,Vani Reddy,72,2,0
459,1142,Nagamma Patil,59,2,0
460,1144,Chandrashekar Patil,26,1,0
461,1145,Vani Swamy,42,2,0
462,1149,Muniraju Naik,66,1,0
463,1151,Pallavi,25,2,0
464,1152,Sunitha Kumar,27,2,0
465,1156,Basavaraj Patil,28,1,0
466,1164,Sunitha Gowda,49,2,0
467,1168,Geetha Gowda,70,2,0
468,1169,Sunitha,42,2,0
469,1171,Pallavi Poojari,65,2,0
470,1174,Kiran Poojari,25,1,0
471,1175,Geetha,31,2,0
472,1176,Darshan Shetty,55,1,0
473,1178,Pallavi Murthy,48,2,0
474,1181,Bhagya Achar,56,2,0
475,1182,Raghavendra Reddy,26,1,0
476,1183,Sunitha,46,2,0
477,1184,Shwetha Naik,71,2,0
478,1186,Basavaraj Poojari,65,1,0
479,1187,Nagaraj Kumar,17,1,0
480,1188,Rekha Hegde,63,2,0
481,1191,Puneeth,60,1,0
482,1199,Padma Shetty,38,2,0
483,1200,Nagamma Poojari,63,2,0
484,1201,Kiran Gowda,18,1,0
485,1202,Bhagya Achar,17,2,0
486,1206,Bhagya,16,2,0
487,1207,Nagamma,57,2,0
488,1211,Muniraju,52,1,0
489,1212,Padma Reddy,69,2,0
490,1213,Shwetha Naik,65,2,0
491,1216,Rekha Rao,72,2,0
492,1217,Pallavi,63,2,0
493,1221,Nagamma Gowda,73,2,0
494,1224,Savitha Reddy,45,2,0
495,1226,Asha Rao,44,2,0
496,1228,Shwetha,59,2,0
497,1229,Shobha,52,2,0
498,1234,Kavitha Achar,24,2,0
499,1239,Sunitha Reddy,25,2,0
500,1242,Sunitha Shetty,42,2,0
501,1244,Bhagya Shetty,56,2,0
502,1245,Manjula Achar,45,2,0
503,1246,Shobha,33,2,0
504,1247,Girish Swamy,75,1,0
505,1249,Shwetha,59,2,0
506,1252,Lakshmi Hegde,65,2,0
507,1254,Kavitha,62,2,0
508,1263,Savitha,64,2,0
509,1264,Nagamma Shetty,47,2,0
510,1266,Kavitha,66,2,0
511,1269,Shobha,65,2,0
512,1273,Darshan Kumar,28,1,0
513,1276,Lokesh Hegde,33,1,0
514,1277,Kavitha Hegde,41,2,0
515,1278,Pallavi Poojari,70,2,0
516,1279,Puneeth Gowda,71,1,0
517,1281,Harish Naik,53,1,0
518,1285,Nagamma Poojari,22,2,0
519,1286,Lakshmi Achar,28,2,0
520,1287,Suresh Kumar,62,1,0
521,1293,Nagamma Hegde,21,2,0
522,1294,Santosh Rao,31,1,0
523,1297,Venkatesh,43,1,0
524,1298,Asha Rao,50,2,0
525,1299,Vani Gowda,59,2,0
526,1300,Lakshmi,38,2,0
527,1305,Bhagya Shetty,70,2,0
528,1306,Vani,68,2,0
529,1311,Deepa Achar,23,2,0
530,1312,Bhagya,22,2,0
531,1314,Asha,70,2,0
532,1319,Puneeth Gowda,38,1,0
533,1321,Chandrashekar Shetty,43,1,0
534,1323,Rathnamma Hegde,52,2,0
535,1325,Pallavi Achar,40,2,0
536,1326,Padma Kumar,22,2,0
537,1331,Santosh,64,1,0
538,1333,Kiran Kumar,41,1,0
539,1334,Kavitha,33,2,0
540,1335,Raghavendra Achar,51,1,0
541,1336,Lokesh,34,1,0
542,1339,Anand Kumar,18,1,0
543,1343,Rathnamma,17,2,0
544,1344,Asha Hegde,41,2,0
545,1345,Raghavendra Naik,18,1,0
546,1348,Manjula Reddy,37,2,0
547,1350,Lokesh,29,1,0
548,1351,Puneeth Kumar,42,1,0
549,1353,Manjunath Murthy,67,1,0
550,1360,Lakshmi Murthy,73,2,0
551,1363,Vani Murthy,24,2,0
552,1364,Vani Achar,69,2,0
553,1365,Shivakumar Achar,36,1,0
554,1366,Rathnamma Reddy,37,2,0
555,1369,Manjula Swamy,40,2,0
556,1371,Savitha Shetty,75,2,0
557,1372,Raghavendra Naik,73,1,0
558,1374,Vani Gowda,25,2,0
559,1376,Nagamma Murthy,20,2,0
560,1378,Rekha Achar,70,2,0
561,1381,Chandrashekar Patil,20,1,0
562,1383,Srinivas Swamy,36,1,0
563,1386,Rekha Achar,29,2,0
564,1387,Padma Patil,19,2,0
565,1392,Kiran,43,1,0
566,1396,Mahesh Murthy,53,1,0
567,1398,Ramesh Kumar,75,1,0
568,1399,Kavitha Naik,54,2,0
569,1400,Divya Murthy,53,2,0
570,1403,Divya Hegde,67,2,0
571,1404,Sunitha Gowda,61,2,0
572,1406,Mahesh Naik,27,1,0
573,1410,Girish Poojari,60,1,0
574,1413,Savitha,69,2,0
575,1417,Rekha Reddy,49,2,0
576,1419,Umesh Reddy,62,1,0
577,1423,Sunitha Reddy,46,2,0
578,1426,Harish Gowda,30,1,0
579,1428,Shivakumar Gowda,21,1,0
580,1429,Nagamma Achar,16,2,0
581,1430,Kiran Rao,41,1,0
582,1432,Santosh Rao,55,1,0
583,1433,Divya,34,2,0
584,1436,Prakash,22,1,0
585,1439,Yogesh Swamy,68,1,0
586,1442,Sunitha Kumar,41,2,0
587,1443,Savitha Reddy,27,2,0
588,1446,Muniraju Murthy,47,1,0
589,1450,Nagaraj,55,1,0
590,1452,Shivakumar Patil,22,1,0
591,1461,Divya Naik,48,2,0
592,1464,Vani Shetty,39,2,0
593,1467,Rathnamma Rao,33,2,0
594,1468,Padma Kumar,46,2,0
595,1470,Rekha,49,2,0
596,1471,Mahesh Achar,29,1,0
597,1473,Shivakumar Achar,49,1,0
598,1474,Rekha Patil,62,2,0
599,1477,Vani Reddy,32,2,0
600,1481,Ramesh,30,1,0
601,1488,Asha Kumar,35,2,0
602,1490,Nagamma Rao,43,2,0
603,1491,Shwetha,59,2,0
604,1492,Geetha,36,2,0
605,1494,Umesh Rao,16,1,0
606,1498,Mahesh Poojari,56,1,0
607,1502,Krishnappa Shetty,26,1,0
608,1504,Basavaraj Murthy,67,1,0
609,1506,Bhagya Reddy,55,2,0
610,1507,Yogesh Reddy,43,1,0
611,1508,Rekha,22,2,0
612,1511,Manjunath Poojari,67,1,0
613,1515,Deepa Gowda,33,2,0
614,1519,Manjunath Kumar,67,1,0
615,1522,Shobha,29,2,0
616,1523,Padma Reddy,22,2,0
617,1526,Basavaraj Patil,49,1,0
618,1529,Vani Rao,55,2,0
619,1535,Kiran Murthy,23,1,0
620,1536,Puneeth,45,1,0
621,1541,Nagamma Patil,37,2,0
622,1542,Geetha,22,2,0
623,1544,Puneeth Swamy,23,1,0
624,1547,Shivakumar Kumar,26,1,0
625,1548,Lakshmi,48,2,0
626,1553,Rathnamma,20,2,0
627,1554,Mahesh Swamy,54,1,0
628,1556,Nagamma Naik,29,2,0
629,1562,Anand,40,1,0
630,1566,Shwetha Shetty,37,2,0
631,1569,Asha Gowda,20,2,0
632,1571,Darshan Murthy,48,1,0
633,1573,Asha,25,2,0
634,1574,Shivakumar Patil,40,1,0
635,1576,Sunitha Patil,22,2,0
636,1578,Shwetha Achar,52,2,0
637,1580,Shobha Swamy,24,2,0
638,1581,Girish Patil,30,1,0
639,1583,Sunitha Shetty,46,2,0
640,1585,Deepa Poojari,19,2,0
641,1586,Shobha Naik,29,2,0
642,1587,Savitha,49,2,0
643,1590,Bhagya Rao,69,2,0
644,1593,Krishnappa Reddy,54,1,0
645,1595,Shivakumar Rao,27,1,0
646,1596,Vani Reddy,50,2,0
647,1598,Santosh Poojari,43,1,0
648,1602,Geetha,71,2,0
649,1605,Savitha Hegde,75,2,0
650,1606,Padma Patil,28,2,0
651,1608,Ramesh Achar,35,1,0
652,1609,Manjula Murthy,21,2,0
653,1613,Mahesh Patil,72,1,0
654,1614,Bhagya,41,2,0
655,1615,Kavitha,52,2,0
656,1616,Nagamma Kumar,72,2,0
657,1618,Shobha Reddy,45,2,0
658,1620,Padma Achar,57,2,0
659,1622,Savitha Murthy,40,2,0
660,1623,Chandrashekar Achar,16,1,0
661,1624,Vani Poojari,36,2,0
662,1625,Lokesh Naik,25,1,0
663,1629,Anand Reddy,26,1,0
664,1630,Rekha,34,2,0
665,1631,Savitha Kumar,31,2,0
666,1632,Vani Gowda,71,2,0
667,1633,Savitha Murthy,44,2,0
668,1635,Deepa,70,2,0
669,1636,Rekha Gowda,28,2,0
670,1645,Savitha Achar,60,2,0
671,1647,Geetha,27,2,0
672,1651,Pallavi Achar,61,2,0
673,1652,Nagaraj Shetty,26,1,1
674,1653,Pallavi Poojari,39,2,0
675,1654,Geetha Poojari,55,2,0
676,1655,Nagaraj Kumar,25,1,0
677,1656,Kavitha,75,2,0
678,1658,Divya Kumar,75,2,0
679,1659,Ramesh Reddy,25,1,0
680,1660,Savitha Murthy,35,2,0
681,1663,Srinivas Reddy,72,1,0
682,1668,Rekha Shetty,27,2,0
683,1669,Rathnamma Swamy,47,2,0
684,1671,Padma,17,2,0
685,1672,Anand Achar,21,1,0
686,1676,Geetha Swamy,65,2,0
687,1678,Deepa Gowda,53,2,0
688,1681,Sunitha,62,2,0
689,1682,Nagamma Murthy,40,2,0
690,1683,Manjula Murthy,17,2,0
691,1686,Sunitha,49,2,0
692,1687,Padma Kumar,51,2,0
693,1691,Sunitha,32,2,0
694,1693,Manjula,36,2,0
695,1696,Basavaraj,24,1,0
696,1700,Deepa Hegde,38,2,0
697,1701,Pallavi Reddy,33,2,0
698,1703,Pallavi Hegde,47,2,0
699,1707,Divya Naik,70,2,0
700,1710,Bhagya Rao,40,2,0
701,1711,Vani Patil,31,2,0
702,1714,Bhagya,73,2,0
703,1717,Padma Patil,42,2,0
704,1721,Geetha Reddy,38,2,0
705,1727,Divya Shetty,40,2,0
706,1728,Vani Gowda,42,2,0
707,1730,Lakshmi Naik,70,2,0
708,1734,Vani Reddy,31,2,0
709,1739,Srinivas,56,1,0
710,1743,Shobha,56,2,0
711,1747,Bhagya,70,2,0
712,1750,Rekha Poojari,37,2,0
713,1753,Pallavi,68,2,0
714,1757,Vani,19,2,0
715,1758,Manjula Reddy,58,2,0
716,1759,Bhagya Naik,71,2,0
717,1761,Pallavi,67,2,0
718,1764,Savitha Rao,54,2,0
719,1765,Vani Shetty,48,2,0
720,1766,Divya Achar,69,2,0
721,1770,Divya Hegde,40,2,0
722,1774,Pallavi Swamy,37,2,0
723,1783,Pallavi Hegde,63,2,0
724,1786,Padma,54,2,0
725,1788,Asha Shetty,66,2,0
726,1789,Lokesh Poojari,21,1,0
727,1796,Lakshmi Hegde,16,2,1
728,1798,Pallavi Patil,40,2,0
729,1799,Shobha,40,2,0
730,1800,Darshan Poojari,41,1,0
731,1803,Sunitha Naik,54,2,0
732,1808,Asha,41,2,0
733,1810,Kavitha Shetty,42,2,0
734,1811,Nagamma,44,2,0
735,1812,Mahesh Achar,54,1,0
736,1813,Geetha Shetty,27,2,0
737,1815,Kavitha Naik,66,2,0
738,1818,Shobha Shetty,29,2,0
739,1822,Padma Reddy,61,2,0
740,1825,Geetha Shetty,32,2,0
741,1831,Nagamma,56,2,0
742,1833,Anand Achar,25,1,0
743,1834,Asha,38,2,0
